cart_position,pole_angle,cart_velocity,pole_angular_velocity,action,reward,next_cart_position,next_pole_angle,next_cart_velocity,next_pole_angular_velocity,terminated
0.000504315388134764,-0.004513556258123676,0.005195354323752728,-0.008031799508090612,-0.021589924,1,0.0005736383105647021,-0.004558649429924682,-0.0017066581127638443,0.0055756869062364624,False
0.0005736383105647021,-0.004558649429924682,-0.0017066581127638443,0.0055756869062364624,-0.008944059,1,0.00045323934974702743,-0.004273121056758078,-0.004313254867207419,0.008711911231574318,False
0.00045323934974702743,-0.004273121056758078,-0.004313254867207419,0.008711911231574318,-0.0053472077,1,0.0002524147002564314,-0.003915115063146116,-0.005733410281332028,0.009250572557225447,False
0.0002524147002564314,-0.003915115063146116,-0.005733410281332028,0.009250572557225447,-0.003929975,1,3.559710719028912e-06,-0.0035498732499454127,-0.006716078264767372,0.009085206684672388,False
3.559710719028912e-06,-0.0035498732499454127,-0.006716078264767372,0.009085206684672388,-0.0030584433,1,-0.0002795884021548042,-0.0031960426420456337,-0.007448297765833699,0.00868128333351435,False
-0.0002795884021548042,-0.0031960426420456337,-0.007448297765833699,0.00868128333351435,-0.0023483015,1,-0.0005881054261319425,-0.002860611341393006,-0.007984426352835198,0.008163370167937832,False
-0.0005881054261319425,-0.002860611341393006,-0.007984426352835198,0.008163370167937832,-0.0017120055,1,-0.0009146242855135163,-0.0025472595278222265,-0.008348151764120956,0.007574099128151534,False
-0.0009146242855135163,-0.0025472595278222265,-0.008348151764120956,0.007574099128151534,-0.0011317165,1,-0.0012525915704119852,-0.0022583799216729077,-0.008556524837261296,0.006935750700204686,False
-0.0012525915704119852,-0.0022583799216729077,-0.008556524837261296,0.006935750700204686,-0.00060526514,1,-0.0015961121635616406,-0.00199559416241982,-0.008625432505450488,0.0062648313736280055,False
-0.0015961121635616406,-0.00199559416241982,-0.008625432505450488,0.0062648313736280055,-0.0001333669,1,-0.0019399244145521712,-0.0017599139164492092,-0.008570676126666869,0.0055754867377616575,False
-0.0019399244145521712,-0.0017599139164492092,-0.008570676126666869,0.0055754867377616575,0.00028334383,1,-0.0022793978569736278,-0.001551819299233886,-0.008408025928413623,0.004880276042709955,False
-0.0022793978569736278,-0.001551819299233886,-0.008408025928413623,0.004880276042709955,0.0006449433,1,-0.0026105286399815335,-0.0013713188081900538,-0.008153053567927613,0.004190334332906437,False
-0.0026105286399815335,-0.0013713188081900538,-0.008153053567927613,0.004190334332906437,0.00095228374,1,-0.002929927683031074,-0.0012180053539427307,-0.007820935987835106,0.0035154079150436475,False
-0.002929927683031074,-0.0012180053539427307,-0.007820935987835106,0.0035154079150436475,0.0012069155,1,-0.003234801382920591,-0.0010911110038593914,-0.007426279197876044,0.0028638835908941806,False
-0.003234801382920591,-0.0010911110038593914,-0.007426279197876044,0.0028638835908941806,0.0014110032,1,-0.003522925715133982,-0.000989560553981521,-0.006982964217975487,0.0022428182044121753,False
-0.003522925715133982,-0.000989560553981521,-0.006982964217975487,0.0022428182044121753,0.0015672203,1,-0.0037926147587867298,-0.0009120235659337652,-0.006504022305521235,0.0016579858744850747,False
-0.0037926147587867298,-0.0009120235659337652,-0.006504022305521235,0.0016579858744850747,0.0016786442,1,-0.0040426848135683684,-0.0008569641578702925,-0.0060015393315183034,0.001113943226656271,False
-0.0040426848135683684,-0.0008569641578702925,-0.0060015393315183034,0.001113943226656271,0.001748675,1,-0.004272415116044087,-0.0008226881728384245,-0.005486581409790862,0.0006140957694827752,False
-0.004272415116044087,-0.0008226881728384245,-0.005486581409790862,0.0006140957694827752,0.0017809311,1,-0.00448150616625786,-0.000807387260928929,-0.004969149797657322,0.00016078611070678497,False
-0.00448150616625786,-0.000807387260928929,-0.004969149797657322,0.00016078611070678497,0.0017791769,1,-0.0046700366241251715,-0.0008091794554030828,-0.004458154542745372,-0.0002446182779554987,False
-0.0046700366241251715,-0.0008091794554030828,-0.004458154542745372,-0.0002446182779554987,0.001747257,1,-0.004838419485761158,-0.0008261462885595595,-0.003961404892983046,-0.0006016391207647374,False
-0.004838419485761158,-0.0008261462885595595,-0.003961404892983046,-0.0006016391207647374,0.0016890151,1,-0.0049873583241005,-0.0008563661928989696,-0.0034856221417755642,-0.000910587026119446,False
-0.0049873583241005,-0.0008563661928989696,-0.0034856221417755642,-0.000910587026119446,0.0016082396,1,-0.005117804315175093,-0.0008979439661364427,-0.003036466138248284,-0.0011724641841167078,False
-0.005117804315175093,-0.0008979439661364427,-0.003036466138248284,-0.0011724641841167078,0.0015086195,1,-0.005230914537675248,-0.0009490364823445441,-0.002618572515867958,-0.0013888731596675564,False
-0.005230914537675248,-0.0009490364823445441,-0.002618572515867958,-0.0013888731596675564,0.001393692,1,-0.005328012038070102,-0.0010078746722362631,-0.0022356037999987236,-0.0015619208960021226,False
-0.005328012038070102,-0.0010078746722362631,-0.0022356037999987236,-0.0015619208960021226,0.0012668088,1,-0.005410548097946711,-0.001072781791784751,-0.0018903084860367398,-0.001694128323582511,False
-0.005410548097946711,-0.001072781791784751,-0.0018903084860367398,-0.001694128323582511,0.001131108,1,-0.005480066997676417,-0.0011421881876771994,-0.00158458684808466,-0.0017883448383112248,False
-0.005480066997676417,-0.0011421881876771994,-0.00158458684808466,-0.0017883448383112248,0.0009894898,1,-0.005538173522757019,-0.001214642738907138,-0.0013195623307239725,-0.001847666919707083,False
-0.005538173522757019,-0.001214642738907138,-0.0013195623307239725,-0.001847666919707083,0.00084460666,1,-0.005586503352457844,-0.0012888212690924613,-0.0010956543440771849,-0.0018753673051955387,False
-0.005586503352457844,-0.0012888212690924613,-0.0010956543440771849,-0.0018753673051955387,0.000698835,1,-0.005626696514238405,-0.0013635319923390688,-0.0009126588011567667,-0.0018748170088549196,False
-0.005626696514238405,-0.0013635319923390688,-0.0009126588011567667,-0.0018748170088549196,0.00055428967,1,-0.005660373937860848,-0.0014377182966589898,-0.000769822648925394,-0.0018494293456026694,False
-0.005660373937860848,-0.0014377182966589898,-0.000769822648925394,-0.0018494293456026694,0.00041281112,1,-0.005689117056596073,-0.0015104592418102862,-0.0006659217307129606,-0.0018026012141896634,False
