cart_position,pole_angle,cart_velocity,pole_angular_velocity,action,reward,next_cart_position,next_pole_angle,next_cart_velocity,next_pole_angular_velocity,terminated
-0.009717692337256176,0.0011696880194067517,-0.0005452230532602131,-0.006286588520602854,-0.024797041,1,-0.009911626164225928,0.0013733896184988438,-0.009121169969513763,0.016197910286117917,False
-0.009911626164225928,0.0013733896184988438,-0.009121169969513763,0.016197910286117917,0.0025843154,1,-0.010263577918432987,0.002030683255691944,-0.008488717994981751,0.01679052827978728,False
-0.010263577918432987,0.002030683255691944,-0.008488717994981751,0.01679052827978728,0.008517795,1,-0.010552222739640122,0.002635223019701233,-0.005960812257931072,0.013603150395864298,False
-0.010552222739640122,0.002635223019701233,-0.005960812257931072,0.013603150395864298,0.010111155,1,-0.010731085181346942,0.0031063476419041416,-0.002997675338197843,0.0100980514743105,False
-0.010731085181346942,0.0031063476419041416,-0.002997675338197843,0.0100980514743105,0.010689432,1,-0.010789273660520952,0.003444296618733179,7.582270368069299e-05,0.00691366360950107,False
-0.010789273660520952,0.003444296618733179,7.582270368069299e-05,0.00691366360950107,0.010919494,1,-0.010724355641751275,0.0036637462133526067,0.0031604806656214983,0.004143904910617429,False
-0.010724355641751275,0.0036637462133526067,0.0031604806656214983,0.004143904910617429,0.010953853,1,-0.01053686725907131,0.0037809947029303205,0.0062068696022821975,0.0017777609276077642,False
-0.01053686725907131,0.0037809947029303205,0.0062068696022821975,0.0017777609276077642,0.0108437035,1,-0.01022901632207514,0.0038115004940794234,0.009180816425247321,-0.00021562715736560606,False
-0.01022901632207514,0.0038115004940794234,0.009180816425247321,-0.00021562715736560606,0.010618541,1,-0.009804217971430072,0.0037694296290815576,0.012056144163113852,-0.001870223808061944,False
-0.009804217971430072,0.0037694296290815576,0.012056144163113852,-0.001870223808061944,0.010301629,1,-0.00926681427993554,0.0036676023016205153,0.014812706365237096,-0.00321962217453954,False
-0.00926681427993554,0.0036676023016205153,0.014812706365237096,-0.00321962217453954,0.009913044,1,-0.008621851519558193,0.0035175256494873464,0.017435463755643723,-0.004296153773391152,False
-0.008621851519558193,0.0035175256494873464,0.017435463755643723,-0.004296153773391152,0.009470379,1,-0.00787488960662795,0.003329450892261157,0.019913797344724496,-0.005130548967811161,False
-0.00787488960662795,0.003329450892261157,0.019913797344724496,-0.005130548967811161,0.008989028,1,-0.0070318371627992125,0.0031124404549538573,0.02224091405410079,-0.005751772712531318,False
-0.0070318371627992125,0.0031124404549538573,0.02224091405410079,-0.005751772712531318,0.008482325,1,-0.006098809514424834,0.0028744407843579955,0.02441329398239456,-0.006186902415714529,False
-0.006098809514424834,0.0028744407843579955,0.02441329398239456,-0.006186902415714529,0.007961732,1,-0.005082007675883128,0.0026223586513428195,0.026430193753756093,-0.0064610740908759064,False
-0.005082007675883128,0.0026223586513428195,0.026430193753756093,-0.0064610740908759064,0.0074369777,1,-0.003987616409563498,0.0023621391142299155,0.028293189251229645,-0.006597452446254182,False
-0.003987616409563498,0.0023621391142299155,0.028293189251229645,-0.006597452446254182,0.0069162166,1,-0.0028217196415588645,0.0020988439033270373,0.030005765014287443,-0.006617239079676214,False
-0.0028217196415588645,0.0020988439033270373,0.030005765014287443,-0.006617239079676214,0.0064061834,1,-0.001590231449563034,0.0018367289394189464,0.031572946189452826,-0.006539707344035735,False
-0.001590231449563034,0.0018367289394189464,0.031572946189452826,-0.006539707344035735,0.005912333,1,-0.00029884098691699055,0.0015793200825086745,0.033000969760204654,-0.006382256017769621,False
-0.00029884098691699055,0.0015793200825086745,0.033000969760204654,-0.006382256017769621,0.0054389765,1,0.0010470301934135016,0.0013294864257100902,0.034296993326802826,-0.006160478606670601,False
0.0010470301934135016,0.0013294864257100902,0.034296993326802826,-0.006160478606670601,0.0049894187,1,0.0024422599150038964,0.0010895104842908135,0.03546884135074211,-0.005888249625645905,False
0.0024422599150038964,0.0010895104842908135,0.03546884135074211,-0.005888249625645905,0.004566083,1,0.0038820476933981584,0.0008611546983803793,0.03652478590947626,-0.005577823157696746,False
0.0038820476933981584,0.0008611546983803793,0.03652478590947626,-0.005577823157696746,0.004170619,1,0.005361928836390554,0.000645724014844649,0.037473355245290614,-0.005239931085883252,False
0.005361928836390554,0.000645724014844649,0.037473355245290614,-0.005239931085883252,0.0038039964,1,0.006877781386076394,0.0004441246166501432,0.03832316736950876,-0.004883878262849936,False
0.006877781386076394,0.0004441246166501432,0.03832316736950876,-0.004883878262849936,0.0034666546,1,0.008425827249981928,0.0002569180522419077,0.039082805925339914,-0.004517677662618228,False
0.008425827249981928,0.0002569180522419077,0.039082805925339914,-0.004517677662618228,0.0031585158,1,0.010002628331512033,8.437115440179972e-05,0.03976069444949414,-0.004148127379434572,False
0.010002628331512033,8.437115440179972e-05,0.03976069444949414,-0.004148127379434572,0.0028791297,1,0.011605078476720975,-7.349809388836943e-05,0.04036501291771593,-0.0037809363734341937,False
0.011605078476720975,-7.349809388836943e-05,0.04036501291771593,-0.0037809363734341937,0.0026277173,1,0.013230392260062321,-0.00021687917742461716,0.040903623264132605,-0.003420824149678965,False
0.013230392260062321,-0.00021687917742461716,0.040903623264132605,-0.003420824149678965,0.0024032323,1,0.01487609109856784,-0.000346131516293462,0.04138401035716747,-0.0030716143838988323,False
0.01487609109856784,-0.000346131516293462,0.04138401035716747,-0.0030716143838988323,0.002204442,1,0.016539987451268542,-0.0004617509365447284,0.04181324533306581,-0.0027363420408666682,False
